DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Port of Grays Harbor,NA,Port,active,Grays Harbor,Grays Harbor,"Aberdeen, Cosmopolis, Elma, Hoquiam, McCleary, Montesano, Oakville, Ocean Shores, Westport",NA,NA
Port of Hoodsport,NA,Port,active,Mason,Mason,NA,NA,NA
Port of Illahee (Bremerton),NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Ilwaco,NA,Port,active,Pacific,Pacific,Ilwaco,NA,NA
Port of Indianola,NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Kahlotus,NA,Port,active,Franklin,Franklin,Kahlotus,NA,NA
Port of Kalama,NA,Port,active,Cowlitz,Cowlitz,Kalama,NA,NA
Port of Kennewick,NA,Port,active,Benton,Benton,"Kennewick, West Richland,  Part Richland and Benton City,",NA,Eastern portion of Benton County
Port of Keyport,NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Kingston,NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Longview,NA,Port,active,Cowlitz,Cowlitz,"Longview, Kelso, Castle Rock",NA,NA
Port of Lopez,NA,Port,active,San Juan,San Juan,NA,NA,NA
Port of Mabana,NA,Port,active,Island,Island,NA,NA,NA
Port of Manchester,NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Olympia,NA,Port,active,Thurston,Thurston,"Bucoda, Lacey, Olympia, Rainier, Tenino, Tumwater, Yelm",NA,NA
Port of Orcas,NA,Port,active,San Juan,San Juan,NA,NA,NA
Port of Pasco,NA,Port,active,Franklin,Franklin,"Pasco, Connell, Mesa",NA,NA
Port of Pend Oreille dba Pend Oreille Valley Railroad,NA,Port,active,Pend Oreille,Pend Oreille,"Cusick, Ione, Metaline, Metaline Falls, Newport",NA,NA
Port of Peninsula,NA,Port,active,Pacific,Pacific,Long Beach,NA,Located in the middle of the Long Beach Peninsula at Nahcotta on Willapa Bay
Port of Port Angeles,NA,Port,active,Clallam,Clallam,Port Angeles,NA,NA
Port of Port Townsend,NA,Port,active,Jefferson,Jefferson,Port Townsend,NA,NA
Port of Poulsbo,NA,Port,active,Kitsap,Kitsap,Poulsbo,NA,NA
Port of Ridgefield,NA,Port,active,Clark,Clark,Ridgefield,NA,NA
Port of Seattle,NA,Port,active,King,King,"Algona, Auburn, Beaux Arts Village, Bellevue, Black Diamond, Bothell, Burien, Carnation, Clyde Hill, Covington, Des Moines, Duvall, Federal Way, Issaquah, Kenmore, Kent, Kirkland, Lake Forest Park, Maple Valley, Medina, Mercer Island, Newcastle, Normandy Park, North Bend, Pacific, Redmond, Sammamish, SeaTac, Shoreline, Skykomish, Snoqualmie, Tukwila, Woodinville,",NA,NA
Port of Shelton,NA,Port,active,Mason,Mason,Shelton,NA,NA
Port of Silverdale,NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Skagit County,NA,Port,active,Skagit,Skagit,"Burlington, Concrete, Hamilton, La Conner, Lyman, Mount Vernon, Sedro-Woolley",NA,NA
Port of Skamania County,NA,Port,active,Skamania,Skamania,"Stevenson, North Bonneville",NA,NA
Port of South Whidbey Island,NA,Port,active,Island,Island,Langley,NA,NA
Port of Sunnyside,NA,Port,active,Yakima,Yakima,Sunnyside,NA,NA
Port of Tacoma,NA,Port,active,Pierce,Pierce,"Auburn, Bonney Lake, Buckley, Carbonado, DuPont, Eatonville, Edgewood, Fife, Fircrest, Gig Harbor, Lakewood, Milton,  Orting, Pacific, Puyallup, Roy, Ruston, South Prairie, Steilacoom, Sumner, Tacoma, University Place, Wilkeson",NA,NA
Port of Tahuya,NA,Port,dissolved,Mason,Mason,NA,NA,Petitioned for dissolution 1/2006
Port of Tracyton,NA,Port,active,Kitsap,Kitsap,Part Bremerton,NA,NA
Port of Vancouver,NA,Port,active,Clark,Clark,"Vancouver, part Camas",NA,NA
Port of Walla Walla,NA,Port,active,Walla Walla,Walla Walla,"College Place, Prescott, Waitsburg, Walla Walla",NA,NA
Port of Waterman (Port Orchard),NA,Water,active,Kitsap,Kitsap,NA,NA,NA
Port of Whitman County,NA,Port,active,Whitman,Whitman,"Albion, Colfax, Colton, Endicott, Farmington, Garfield, LaCrosse, Lamont, Malden, Oakesdale, Palouse, Pullman, Rosalia, St. John, Tekoa, Uniontown",NA,NA
Port of Willapa Harbor,NA,Port,active,Pacific,Pacific,"Raymond, South Bend",NA,Northern half of Pacific County
Port of Woodland,NA,Port,active,Cowlitz,Cowlitz,Woodland,NA,NA
Port Townsend School District No. 50,50,School,active,Jefferson,Jefferson,Port Townsend,NA,NA
Prescott Joint Park and Recreation,NA,Parks,active,Columbia,"Columbia, Walla Walla",NA,NA,Maintains a pool and a park
Prescott Joint Park and Recreation District,NA,Parks,active,Walla Walla,"Walla Walla, Columbia",Prescott,NA,NA
Prescott School District No. 402-37,402,School,active,Walla Walla,Walla Walla,Prescott,NA,NA
Prosser Fire Protection District No 3 ,3,Fire Protection,active,Benton,Benton,NA,Benton County Fire Protection District No. 3,NA
Prosser Public Hospital District,NA,Hospital,active,Benton,Benton,Prosser,Prosser Memorial Hospital,NA
Prosser School District No. 116,116,School,active,Benton,Benton,Prosser,NA,NA
Prosser Transportation Benefit District (2009),NA,Transportation,active,Benton,Benton,Prosser,NA,NA
Public Hospital District No. 1 of Clallam County,1,Hospital,active,Clallam,Clallam,Forks,NA,NA
Public Hospital District No. 2 of Clallam County,2,Hospital,active,Clallam,Clallam,"Port Angeles, Sequim",dba Olympia Memorial Center,NA
Public Stadium Authority,NA,NA,active,King,King,NA,Washington State Major League Baseball Stadium Public Facilities District,NA
Public Utility District No. 1 of Asotin County,1,Public Utility,active,Asotin,Asotin,Clarkston,NA,NA
Public Utility District No. 1 of Benton County,1,Public Utility,active,Benton,Benton,"Kennewick, Prosser, Richland, Benton City (part)",NA,NA
Public Utility District No. 1 of Chelan County,1,Public Utility,active,Chelan,Chelan,"Cashmere, Chelan, Entiat, Leavenworth, Wenatchee",NA,NA
Public Utility District No. 1 of Clallam County,1,Public Utility,active,Clallam,Clallam,"Port Angeles, Sequim, Forks",NA,NA
Public Utility District No. 1 of Clark County,1,Public Utility,active,Clark,Clark,"Woodland, Yacolt, Vancouver Part), Camas (Part), Washougal(Part), La Center (Part), Ridgefield (Part)",NA,NA
Public Utility District No. 1 of Cowlitz County,1,Public Utility,active,Cowlitz,Cowlitz,"Castle Rock, Kalama, Kelso, Longview, Castle Rock, Woodland",NA,NA
Public Utility District No. 1 of Douglas County,1,Public Utility,active,Douglas,Douglas,"East Wenatchee, Mansfield, Rock Island, Waterville, Coulee Dam",NA,The Town of Waterville has provided customer service at the Town Hall for the Douglas County Public Utility District (PUD) No. 1
Public Utility District No. 1 of Franklin County,1,Public Utility,active,Franklin,Franklin,NA,NA,NA
Public Utility District No. 1 of Grays Harbor County,1,Public Utility,active,Grays Harbor,Grays Harbor,"Aberdeen, Cosmopolis, Elma, Hoquiam, McCleary, Montesano, Oakville, Ocean Shores, Westport",NA,NA
Public Utility District No. 1 of Jefferson County,1,Public Utility,active,Jefferson,Jefferson,Port Townsend,NA,NA
Public Utility District No. 1 of Kittitas County,1,Public Utility,active,Kitsap,Kitsap,"Bainbridge, Bremerton, Port Orchard, Poulsbo",NA,NA
Public Utility District No. 1 of Klickitat County,1,Public Utility,active,Klickitat,Klickitat,"Goldendale. Bingen, White Salmon",NA,NA
Public Utility District No. 1 of Okanogan County,1,Public Utility,active,Okanogan,Okanogan,"Brewster, Conconully, Coulee Dam, Elmer City, Nespelem, Okanogan, Omak, Oroville, Pateros, Riverside, Tonasket, Twisp, Winthrop",NA,NA
Public Utility District No. 1 of Pend Oreille County,1,Public Utility,active,Pend Oreille,Pend Oreille,"Cusick, Ione, Metaline, Metaline Falls, Newport",NA,NA
Public Utility District No. 1 of Skagit County,1,Public Utility,active,Skagit,Skagit,"Anacortes, Burlington, Concrete, Hamilton, La Conner, Lyman, Mount Vernon, Sedro-Woolley",NA,NA
Public Utility District No. 1 of Skamania County,1,Public Utility,active,Skamania,Skamania,NA,NA,NA
Public Utility District No. 1 of Wahkiakum County,1,Public Utility,active,Wahkiakum,Wahkiakum,Cathlamet,NA,NA
Public Utility District No. 1 of Whatcom County,1,Public Utility,active,Whatcom,Whatcom,"Bellingham, Blaine, Everson, Ferndale, Lynden, Nooksack, Sumas",NA,NA
Public Utility District No. 2 of Pacific County,2,Public Utility,active,Pacific,Pacific,"Ilwaco, Long Beach, Raymond, South Bend",NA,NA
Public Utility District No. 3 of Mason County,3,Public Utility,active,Mason,Mason,Shelton,NA,NA
Puget Sound Clean Air Agency,NA,Clear Air,active,King,King,NA,NA,NA
Pullman Metropolitan Park District,NA,Parks,active,Whitman,Whitman,Pullman,NA,NA
Pullman School District No. 267,267,School,active,Whitman,Whitman,"Albion, Pullman",NA,NA
Puyallup Housing Authority,NA,Housing Authority,dissolved,Pierce,Pierce,NA,NA,"The Pierce County Housing Authority (PCHA) historically managed the Puyallup Housing Authority, which was a separate legal entity until December of 1997. The City of Puyallup deactivated the Puyallup Housing Authority and transferred its assets and liabilities to Pierce County Housing Authority, From Auditors Report 1997"
Puyallup School District No. 3,3,School,active,Pierce,Pierce,"Part Edgewood, part Fife, part Puyallup, part Sumner",NA,NA
Queets-Clearwater School District No. 20,20,School,active,Jefferson,Jefferson,NA,NA,NA
Quilcene School District No. 48,48,School,active,Jefferson,Jefferson,NA,NA,NA
Quillayute Park and Recreation District,NA,Parks,active,Clallam,Clallam,Forks,Quillayute Valley Aquatic Center (1978),NA
Quillayute Valley School District No. 402,402,School,active,Clallam,Clallam,Forks,NA,NA
Quincy Cemetery District No. 1,1,Cemetery,active,Grant,Grant,George and Quincy,NA,NA
Quincy Columbia Basin Irrigation District,NA,Irrigation,active,Grant,Grant,NA,NA,NA
Quincy School District No. 144,144,School,active,Grant,Grant,"George, Quincy",NA,NA
Rainier School District No. 307,307,School,active,Thurston,Thurston,Rainier. Yelm,NA,NA
Raymond School District No. 116,116,School,active,Pacific,Pacific,Part Raymond,NA,NA
Reardan-Edwall School District No. 9,9,School,active,Lincoln,Lincoln,Reardan,NA,NA
Redmond Library Capital Facilities Area,NA,Library,active,King,King,Redmond,NA,NA
Renton School District No. 403,403,School,active,King,King,"Part Bellevue, Kent, part Newcastle, part Renton, SeaTac, part Tukwila",NA,NA
Republic School District No. 309,309,School,active,Ferry,Ferry,"Republic, Coulee Dam, Elmer City",NA,NA
Rhodena Beach Water District,NA,Water,active,Island,Island,NA,NA,NA
Richland Housing Authority,NA,Housing Authority,active,Benton,Benton,NA,NA,NA
Richland Public Facilities District,NA,Public Facilities,active,Benton,Benton,Richland,NA,NA
Richland School District No. 400,400,School,active,Benton,Benton,"Part Richland, part West Richland, part Kennewick",NA,NA
Ridgefield School District No. 122,122,School,active,Clark,Clark,Ridgefield,NA,NA
Ridgefield Transportation Benefit District (2008),NA,Transportation,active,Clark,Clark,Ridgefield,NA,NA
Ritzville Rural Library District No. 2,2,Library,active,Adams,Adams,Ritzville,NA,NA
Ritzville School District No. 160,160,School,active,Adams,Adams,Ritzville,NA,NA
Riverside Fire Authority (Centralia and Lewis County FPD 12),NA,Fire Protection,active,Lewis,Lewis,Centralia included at formation,NA,NA
Riverside Flood Control District,NA,Flood Control,active,Okanogan,Okanogan,NA,NA,NA
Riverside School District No. 416,416,School,active,Spokane,Spokane,Part Deer Park,NA,NA
Riverview School District No. 407,407,School,active,King,King,"Carnation, Duvall",NA,NA
Robe Valley Flood Control District (09/2004),NA,Flood Control,active,Snohomish,Snohomish,NA,NA,NA
Rochester School District No. 401,401,School,active,Thurston,Thurston,Part Bucoda,NA,NA
Rocky Point Water District No. 12,12,Water,active,Kitsap,Kitsap,NA,NA,NA
Ronald Wastewater District (1951),NA,Water/Sewer,active,King,King,"Shoreline, Woodway",NA,"Previously known as the Shoreline Wastewater Management District. Serves  Shoreline, Woodway"
Roosevelt School District No. 403,403,School,active,Klickitat,Klickitat,NA,NA,NA
Rosalia Park and Recreation District,NA,Parks,active,Spokane,"Spokane, Stevens",NA,NA,NA
Rosalia School District No. 320,320,School,active,Whitman,Whitman,"Malden, Rosalia",NA,NA
Rose Hill Water District,NA,Water,annexed,King,NA,NA,NA,"Assumed by Kirkland , Bellevue and Redmond January 1, 1994"
Roxbury Heights Sewer District (1944),NA,Sewer,annexed,King,NA,NA,NA,All of the sewered portion of the district assumed by Seattle in 1956.
Royal City Transportation Benefit District (2012),NA,Transportation,active,Grant,Grant,Royal City,NA,NA
Royal School District No. 160,160,School,active,Grant,Grant,Royal City,NA,NA
Royal Water District,NA,Water,active,Grant,Grant,NA,NA,NA
Roza-Sunnyside Board of Joint Control (Board of Joint Control),NA,NA,active,Yakima,Yakima,"Roza Irrigation District, Sunnyside Valley Irrigation District, Sunnyside Division of Yakima Reclamation Project (Grandview Irrigation District, Benton Irrigation District, Zillah, Sunnyside, Grandview, Prosser)",NA,NA
Roza Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Sacheen Lake Water and Sewer District,NA,Water/Sewer,active,Pend Oreille,Pend Oreille,NA,NA,Newport area
Saint John School District No. 322,322,School,active,Whitman,Whitman,St John,NA,NA
Samish Water District,NA,Water,active,Whatcom,Whatcom,NA,NA,Formerly Whatcom County Water District No. 12 (name change 03/26/2001
Sammamish Plateau Water and Sewer District ,NA,Water/Sewer,active,King,King,NA,King County Water and Sewer District No.  82 (1948),"Merged with King County Water Districts 121 and 122. Name was changed to Sammamish Plateau water and Sewer District in 1987. Service area includes Issaquah, Sammamish"
San Juan County Cemetery District No. 1,1,Cemetery,active,San Juan,San Juan,Friday Harbor,San Juan,NA
San Juan County Cemetery district No. 2,2,Cemetery,active,San Juan,San Juan,NA,Stewart Island,NA
San Juan County Cemetery district No. 3 ,3,Cemetery,active,San Juan,San Juan,NA,Orcas Island,NA
San Juan County Fire Protection District No. 2,2,Fire Protection,active,San Juan,San Juan,NA,Orcas Island Fire & Rescue (1948),NA
San Juan County Fire Protection District No. 3,3,Fire Protection,active,San Juan,San Juan,NA,San Juan Island Fire Department,NA
San Juan County Fire Protection District No. 4,4,Fire Protection,active,San Juan,San Juan,NA,Lopez Island,NA
San Juan County Fire Protection District No. 5,5,Fire Protection,active,San Juan,San Juan,NA,Shaw Island,NA
San Juan County Public Hospital District No. 1,1,Hospital,active,San Juan,San Juan,Friday Harbor,NA,"Inter Island Medical Center, EMS provider to island."
San Juan Island Parks and Recreation District,NA,Parks,active,San Juan,San Juan,Friday Harbor,NA,NA
San Juan Island School District No. 149,149,School,active,San Juan,San Juan,Friday Harbor,NA,NA
San Juan Islands Conservation District,NA,Conservation,active,San Juan,San Juan,NA,NA,NA
San Juan Library District,NA,Library,active,San Juan,San Juan,Friday Harbor,NA,NA
Saratoga Water District,NA,Water,active,Island,Island,NA,NA,NA
Satsop School District No. 104,104,School,active,Grays Harbor,Grays Harbor,NA,NA,NA
Scatchet Head Water District (1982),NA,Water,active,Island,Island,NA,NA,NA
Seattle School District No. 1,1,School,active,King,King,"Part Tukwila, part Seattle",NA,NA
Seattle Transportation Benefit District (2010),NA,Transportation,active,King,King,Seattle,NA,NA
Seaview Sewer District,NA,Sewer,active,Pacific,Pacific,NA,NA,NA
Sedro-Woolley School District No. 101,101,School,active,Skagit,Skagit,"Hamilton, Lyman, part Mount Vernon, Sedro-Woolley",NA,NA
Selah-Moxee Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Selah Park and Recreation Service Area  (2001),NA,Parks,disposition unknown,Yakima,Yakima,Selah,NA,NA
Selah School District No. 119,119,School,active,Yakima,Yakima,Selah,NA,NA
Selkirk School District No. 70,70,School,active,Pend Oreille,Pend Oreille,"Ione, Metaline, Metaline Falls",NA,NA
Sequim School District No. 323,323,School,active,Clallam,Clallam,Sequim,NA,NA
Sequim Transportation Benefit District (2008),NA,Transportation,active,Clallam,Clallam,Sequim,NA,NA
Shaw Island School District No. 10,10,School,active,San Juan,San Juan,NA,NA,NA
Shelton Metropolitan Park District (4/2010),NA,Parks,active,Mason,Mason,Shelton,NA,NA
Shelton School District No. 309,309,School,active,Mason,Mason,Part Shelton,NA,NA
Shoreline Fire Department,NA,Fire Protection,active,King,King,Shoreline,Formerly King County Fire  District No.  4,NA
Shoreline School District No. 412,412,School,active,King,King,"Lake Forest Park, Shoreline",NA,NA
Shoreline Transportation Benefit District (2009),NA,Transportation,active,King,King,Shoreline,NA,NA
Shoreline Water District ,NA,Water,active,King,King,NA,Formerly King County Water District No.  42 (1931),"Name change 1991. Service area includes Lake Forest Park, Seattle"
Si View Metropolitan Park District (02/2003),NA,Parks,active,King,King,North Bend,NA,NA
Silver Lake Flood Control District,NA,Flood Control,active,Cowlitz,Cowlitz,NA,NA,NA
Silver Lake Water District (1934),NA,Water,active,Snohomish,Snohomish,"Everett, Mill Creek",NA,NA
Silverdale Water District No. 16 (1919),16,Water,active,Kitsap,Kitsap,NA,NA,NA
Skagit Co Fire Protection District No. 18,18,Fire Protection,active,Skagit,Skagit,NA,"Darrington area, files with Snohomish County No.24, only Mansford Precinct in Skagit Co",Service provided by Snohomish Fire District 24
Skagit Conservation District,NA,Conservation,active,Skagit,Skagit,NA,NA,NA
